"ns","lu.from","lu.to","value"
"13317","Forest","Cropland",0
"13318","Forest","Cropland",0
"13319","Forest","Cropland",0
"13320","Forest","Cropland",0
"13321","Forest","Cropland",0
"13322","Forest","Cropland",0
"13323","Forest","Cropland",0
"13324","Forest","Cropland",0
"13325","Forest","Cropland",0
"13326","Forest","Cropland",0
"13327","Forest","Cropland",0
"13328","Forest","Cropland",0
"13329","Forest","Cropland",0
"13330","Forest","Cropland",0
"13331","Forest","Cropland",0
"13332","Forest","Cropland",0
"13333","Forest","Cropland",0
"13334","Forest","Cropland",0
"13335","Forest","Cropland",0
"13336","Forest","Cropland",0
"13337","Forest","Cropland",0
"13338","Forest","Cropland",0
"13339","Forest","Cropland",0
"13340","Forest","Cropland",0
"13341","Forest","Cropland",0
"13342","Forest","Cropland",0
"13343","Forest","Cropland",0
"13379","Forest","Cropland",0
"13381","Forest","Cropland",0
"13383","Forest","Cropland",0
"13384","Forest","Cropland",0
"13385","Forest","Cropland",0
"13386","Forest","Cropland",0
"13387","Forest","Cropland",0
"13388","Forest","Cropland",0
"13389","Forest","Cropland",0
"13390","Forest","Cropland",0
"13391","Forest","Cropland",0
"13392","Forest","Cropland",0
"13393","Forest","Cropland",0
"13394","Forest","Cropland",0
"13395","Forest","Cropland",0
"13396","Forest","Cropland",0
"13397","Forest","Cropland",0
"13398","Forest","Cropland",0
"13399","Forest","Cropland",0
"13400","Forest","Cropland",0
"13401","Forest","Cropland",0
"13402","Forest","Cropland",0
"13403","Forest","Cropland",0
"13404","Forest","Cropland",0
"13405","Forest","Cropland",0
"13406","Forest","Cropland",0
"13407","Forest","Cropland",0
"13408","Forest","Cropland",0
"13409","Forest","Cropland",0
"13410","Forest","Cropland",0
"13411","Forest","Cropland",0
"13412","Forest","Cropland",0
"13413","Forest","Cropland",0
"13414","Forest","Cropland",0
"13415","Forest","Cropland",0
"13416","Forest","Cropland",0
"13417","Forest","Cropland",0
"13460","Forest","Cropland",0
"13462","Forest","Cropland",0
"13463","Forest","Cropland",0
"13464","Forest","Cropland",0
"13465","Forest","Cropland",0
"13466","Forest","Cropland",0
"13467","Forest","Cropland",0
"13468","Forest","Cropland",0
"13469","Forest","Cropland",0
"13470","Forest","Cropland",0
"13471","Forest","Cropland",0
"13472","Forest","Cropland",0
"13473","Forest","Cropland",0
"13474","Forest","Cropland",0
"13475","Forest","Cropland",0
"13476","Forest","Cropland",0
"13477","Forest","Cropland",0
"13478","Forest","Cropland",0
"13479","Forest","Cropland",0
"13480","Forest","Cropland",0
"13481","Forest","Cropland",0
"13482","Forest","Cropland",0
"13483","Forest","Cropland",0
"13484","Forest","Cropland",0
"13485","Forest","Cropland",0
"13486","Forest","Cropland",0
"13487","Forest","Cropland",0
"13488","Forest","Cropland",1
"13526","Forest","Cropland",0
"13528","Forest","Cropland",0
"13530","Forest","Cropland",0
"13531","Forest","Cropland",0
"13532","Forest","Cropland",0
"13533","Forest","Cropland",0
"13534","Forest","Cropland",0
"13535","Forest","Cropland",0
"13536","Forest","Cropland",0
"13537","Forest","Cropland",0
"13538","Forest","Cropland",0
"13539","Forest","Cropland",0
"13540","Forest","Cropland",0
"13541","Forest","Cropland",0
"13542","Forest","Cropland",0
"13543","Forest","Cropland",0
"13544","Forest","Cropland",0
"13545","Forest","Cropland",0
"13546","Forest","Cropland",0
"13547","Forest","Cropland",0
"13548","Forest","Cropland",0
"13549","Forest","Cropland",0
"13550","Forest","Cropland",0
"13551","Forest","Cropland",0
"13552","Forest","Cropland",0
"13553","Forest","Cropland",0
"13554","Forest","Cropland",0
"13589","Forest","Cropland",0
"13591","Forest","Cropland",0
"13592","Forest","Cropland",0
"13593","Forest","Cropland",0
"13594","Forest","Cropland",0
"13595","Forest","Cropland",0
"13596","Forest","Cropland",0
"13597","Forest","Cropland",0
"13598","Forest","Cropland",0
"13599","Forest","Cropland",0
"13600","Forest","Cropland",0
"13601","Forest","Cropland",0
"13602","Forest","Cropland",0
"13603","Forest","Cropland",0
"13604","Forest","Cropland",0
"13605","Forest","Cropland",0
"13606","Forest","Cropland",0
"13607","Forest","Cropland",0
"13608","Forest","Cropland",0
"13609","Forest","Cropland",0
"13610","Forest","Cropland",0
"13611","Forest","Cropland",0
"13612","Forest","Cropland",0
"13613","Forest","Cropland",0
"13614","Forest","Cropland",0
"13615","Forest","Cropland",0
"13616","Forest","Cropland",0
"13650","Forest","Cropland",0
"13652","Forest","Cropland",0
"13653","Forest","Cropland",0
"13654","Forest","Cropland",0
"13655","Forest","Cropland",0
"13656","Forest","Cropland",0
"13657","Forest","Cropland",0
"13658","Forest","Cropland",0
"13659","Forest","Cropland",0
"13660","Forest","Cropland",0
"13661","Forest","Cropland",0
"13662","Forest","Cropland",0
"13663","Forest","Cropland",0
"13664","Forest","Cropland",0
"13665","Forest","Cropland",0
"13666","Forest","Cropland",0
"13667","Forest","Cropland",0
"13668","Forest","Cropland",0
"13669","Forest","Cropland",0
"13670","Forest","Cropland",0
"13671","Forest","Cropland",0
"13672","Forest","Cropland",0
"13703","Forest","Cropland",0
"13705","Forest","Cropland",0
"13706","Forest","Cropland",0
"13707","Forest","Cropland",0
"13708","Forest","Cropland",0
"13709","Forest","Cropland",0
"13710","Forest","Cropland",0
"13711","Forest","Cropland",0
"13712","Forest","Cropland",0
"13713","Forest","Cropland",0
"13714","Forest","Cropland",0
"13715","Forest","Cropland",0
"13716","Forest","Cropland",0
"13717","Forest","Cropland",0
"13718","Forest","Cropland",0
"13719","Forest","Cropland",0
"13720","Forest","Cropland",0
"13721","Forest","Cropland",0
"13722","Forest","Cropland",0
"13723","Forest","Cropland",0
"13749","Forest","Cropland",0
"13751","Forest","Cropland",0
"13753","Forest","Cropland",0
"13754","Forest","Cropland",0
"13755","Forest","Cropland",0
"13756","Forest","Cropland",0
"13757","Forest","Cropland",0
"13758","Forest","Cropland",0
