"ns","lu.from","value"
"101231","Urban",0.110880080195651
"101241","Cropland",0.000600596049088632
"101241","Forest",0.00672760446298248
"101241","OtherLand",20.948482284096
"101241","Pasture",11.6232447026574
"101241","Plantations",0
"101241","Urban",0.00124481273452514
"101242","Cropland",0.0362247330699034
"101242","Forest",1.52263168761943
"101242","OtherLand",7.38947486445674
"101242","Pasture",0.968232134199757
"101242","Plantations",0
"101242","Urban",0.0166365806541648
"101249","Cropland",0.0212813116351368
"101249","Forest",0
"101249","OtherLand",8.28704332537467
"101249","Pasture",4.72296302254777
"101249","Plantations",0
"101249","Urban",0.000832340442422971
"101250","Cropland",0.0367691328039369
"101250","Forest",0.404446510675997
"101250","OtherLand",3.88670506132493
"101250","Pasture",0.635067017238476
"101250","Plantations",0
"101250","Urban",0.00361227795666467
"101257","Cropland",0
"101257","Forest",0
"101257","OtherLand",4.19676184824534
"101257","Pasture",2.31771056022862
"101257","Plantations",0
"101257","Urban",0.00158759152604191
"101258","Cropland",0.00279064919208421
"101258","Forest",0.00336337800011759
"101258","OtherLand",62.4205019537917
"101258","Pasture",34.6128429154409
"101258","Plantations",0
"101258","Urban",0.0097511035751991
"101259","Cropland",0.000443361021148729
"101259","Forest",0.00374046833335336
"101259","OtherLand",41.3022995672585
"101259","Pasture",22.8894183936408
"101259","Plantations",0
"101259","Urban",0.00599820974621402
"101260","Cropland",0.0486295740971599
"101260","Forest",0.660200174968699
"101260","OtherLand",3.42213224197262
"101260","Pasture",0.835638008961523
"101260","Plantations",0
"101260","Urban",0
"101269","Cropland",0.2687618953309
"101269","Forest",2.11654338318355
"101269","OtherLand",1.92503540123773
"101269","Pasture",2.9395716596482
"101269","Plantations",0
"101269","Urban",0.00690766059962037
"101270","Cropland",0
"101270","Forest",0
"101270","OtherLand",16.6479783896611
"101270","Pasture",9.23015808258513
"101270","Plantations",0
"101270","Urban",0.00166352775375101
"101282","Cropland",0.301304479328865
"101282","Forest",21.2798876753629
"101282","OtherLand",18.6624826460982
"101282","Pasture",3.98217488478487
"101282","Plantations",0
"101282","Urban",0.00549031442513691
"101283","Cropland",0.224643156130468
"101283","Forest",5.78138458293866
"101283","OtherLand",5.22326406173763
"101283","Pasture",3.34971924720492
"101283","Plantations",0.0124689519883185
"101283","Urban",0
"101306","Cropland",0.391642243184274
"101306","Forest",7.82064777771135
"101306","OtherLand",6.75222116813288
"101306","Pasture",0.830428287834181
"101306","Plantations",0
"101306","Urban",0.00242052313730945
"101342","Cropland",3.37446414645754
"101342","Forest",0.00336361956779932
"101342","OtherLand",0.00688758976237001
"101342","Pasture",10.2008246442123
"101342","Plantations",0
"101342","Urban",0
"101351","Cropland",46.7446916516654
"101351","Forest",0.0370771274722738
"101351","OtherLand",0.117902204410828
"101351","Pasture",27.8207990164515
"101351","Plantations",0
"101351","Urban",0
"101352","Cropland",2.13486701625283
"101352","Forest",0
"101352","OtherLand",0.185080329403432
"101352","Pasture",11.1498591710646
"101352","Plantations",0.0249534832790967
"101352","Urban",0
