"ns","times","ks","value"
"844","2010","totPop",27.2337730034023
"844","2010","ruralPop",1
"844","2020","totPop",28.8445328793738
"844","2020","ruralPop",1
"844","2030","totPop",29.9183738207817
"844","2030","ruralPop",1
"844","2040","totPop",30.4254639825414
"844","2040","ruralPop",0.792156866490497
"844","2050","totPop",30.7834113043752
"844","2050","ruralPop",0.124030998983705
"844","2060","totPop",30.6640951890661
"844","2060","ruralPop",0.123540861586492
"844","2070","totPop",30.2166620608674
"844","2070","ruralPop",0.0552813351194929
"844","2080","totPop",29.5007689533401
"844","2080","ruralPop",0.054600606462806
"844","2090","totPop",28.4567578088296
"844","2090","ruralPop",0.0534591134989038
"844","2100","totPop",27.7110359284984
"844","2100","ruralPop",0.0527448884869045
"919","2000","totPop",14.2922238852881
"919","2000","ruralPop",1
"919","2010","totPop",9.88685616251794
"919","2010","ruralPop",1
"919","2020","totPop",10.2231436543101
"919","2020","ruralPop",1
"919","2030","totPop",10.7948327367223
"919","2030","ruralPop",1
"919","2040","totPop",11.0302340747842
"919","2040","ruralPop",1
"919","2050","totPop",11.0302340747842
"919","2050","ruralPop",1
"919","2060","totPop",11.0302340747842
"919","2060","ruralPop",1
"919","2070","totPop",10.7275750723971
"919","2070","ruralPop",0.040752350380243
"919","2080","totPop",10.693946438673
"919","2080","ruralPop",0.0408805019351614
"919","2090","totPop",10.3912875806049
"919","2090","ruralPop",0.0420711961525019
"919","2100","totPop",10.0886287225368
"919","2100","ruralPop",0.0433333320220311
"932","2000","totPop",394.971398372414
"932","2000","ruralPop",1
"932","2010","totPop",279.474337048147
"932","2010","ruralPop",0.0172638714654356
"932","2020","totPop",295.043066599042
"932","2020","ruralPop",0
"932","2030","totPop",306.732045808956
"932","2030","ruralPop",0
"932","2040","totPop",314.425214918448
"932","2040","ruralPop",0
"932","2050","totPop",317.674915505945
"932","2050","ruralPop",0
"932","2060","totPop",316.530884866142
"932","2060","ruralPop",0
"932","2070","totPop",311.98793264703
"932","2070","ruralPop",0
"932","2080","totPop",304.775578637621
"932","2080","ruralPop",0
"932","2090","totPop",296.187083577255
"932","2090","ruralPop",0
"932","2100","totPop",286.786165646947
"932","2100","ruralPop",0
"945","2000","totPop",113.630599308917
"945","2000","ruralPop",0.813774122542341
"945","2010","totPop",93.8718471471775
"945","2010","ruralPop",0.119650799872365
"945","2020","totPop",99.6843611505932
"945","2020","ruralPop",0.103407330548108
"945","2030","totPop",104.108880234309
"945","2030","ruralPop",0.101970227857409
"945","2040","totPop",107.339632196717
"945","2040","ruralPop",0.101019460103319
"945","2050","totPop",109.116075719768
"945","2050","ruralPop",0.100981175245874
"945","2060","totPop",109.352934509214
"945","2060","ruralPop",0.0187142606228805
"945","2070","totPop",108.291806787704
"945","2070","ruralPop",0.00664917344642491
"945","2080","totPop",106.14112515429
"945","2080","ruralPop",0.00660537307756721
"945","2090","totPop",103.436202579892
"945","2090","ruralPop",0.00641172494539054
"945","2100","totPop",100.484940072708
"945","2100","ruralPop",0
"959","2000","totPop",27.6017387937205
"959","2000","ruralPop",1
"959","2010","totPop",19.0049511839072
"959","2010","ruralPop",0.889422022579353
"959","2020","totPop",20.0080479024787
"959","2020","ruralPop",0.860161587802946
"959","2030","totPop",20.6173670116737
"959","2030","ruralPop",0.834740652635088
"959","2040","totPop",21.1396403762854
"959","2040","ruralPop",0.834705885820819
"959","2050","totPop",21.3427464851188
"959","2050","ruralPop",0.8208389980783
"959","2060","totPop",21.2992240753286
"959","2060","ruralPop",0.129901722801062
"959","2070","totPop",20.9178819636692
"959","2070","ruralPop",0.0737144670842903
"959","2080","totPop",20.385245642787
"959","2080","ruralPop",0.0720821579302317
"959","2090","totPop",19.8381017096665
"959","2090","ruralPop",0.0737567985558984
"959","2100","totPop",19.2308552842259
"959","2100","ruralPop",0.0173510117948941
"972","2000","totPop",83.7751513692813
"972","2000","ruralPop",1
"972","2010","totPop",58.8531739778856
"972","2010","ruralPop",0.0496531331238469
"972","2020","totPop",61.9350003092068
"972","2020","ruralPop",0.0389506094863345
"972","2030","totPop",64.2976669971993
"972","2030","ruralPop",0.0168256823304612
"972","2040","totPop",66.0240731381633
"972","2040","ruralPop",0.00433185751289422
"972","2050","totPop",66.5815777861997
"972","2050","ruralPop",0.00420220380698082
"972","2060","totPop",66.4468657585537
"972","2060","ruralPop",0.00411715193662491
"972","2070","totPop",65.4520584942261
"972","2070","ruralPop",0.000759947693076239
"972","2080","totPop",63.928760810181
"972","2080","ruralPop",0.000778055764407321
"972","2090","totPop",61.9930319322026
"972","2090","ruralPop",0.000702060140601686
"972","2100","totPop",60.0573044417294
"972","2100","ruralPop",0.000621162062699139
"994","2000","totPop",67.0831258747044
"994","2000","ruralPop",1
"994","2010","totPop",46.4722063507337
"994","2010","ruralPop",0.195750413910383
"994","2020","totPop",48.8265826318078
"994","2020","ruralPop",0.150467867017689
"994","2030","totPop",50.6614476126082
"994","2030","ruralPop",0.116290927917662
"994","2040","totPop",51.9436424641902
"994","2040","ruralPop",0.114768039377781
"994","2050","totPop",52.356303055033
"994","2050","ruralPop",0.0983814071567622
"994","2060","totPop",52.2199778450398
"994","2060","ruralPop",0.0256120823041615
"994","2070","totPop",51.4499239925164
"994","2070","ruralPop",0.0105986763565376
"994","2080","totPop",50.2229953316311
"994","2080","ruralPop",0.0102707027036328
"994","2090","totPop",48.7344702478756
"994","2090","ruralPop",0.00997959073788661
"994","2100","totPop",47.1943621633403
"994","2100","ruralPop",0.00616752837712414
"1020","2000","totPop",121.955000712603
"1020","2000","ruralPop",1
"1020","2010","totPop",84.2407765603295
"1020","2010","ruralPop",0.098901105119963
"1020","2020","totPop",88.695300344403
"1020","2020","ruralPop",0.0777954281894458
"1020","2030","totPop",91.989214959675
"1020","2030","ruralPop",0.0771425960429443
"1020","2040","totPop",94.1446288431153
"1020","2040","ruralPop",0.0704746203845867
"1020","2050","totPop",95.0123204336785
"1020","2050","ruralPop",0.0611930338521351
"1020","2060","totPop",94.5674201352954
"1020","2060","ruralPop",0.0275845702464922
"1020","2070","totPop",93.3681268466898
"1020","2070","ruralPop",0.00337398029671642
"1020","2080","totPop",91.0220427079036
"1020","2080","ruralPop",0.00321806995967693
"1020","2090","totPop",88.5046266736596
"1020","2090","ruralPop",0.00124890246430427
"1020","2100","totPop",85.735750483716
"1020","2100","ruralPop",0.00112809840815849
"1048","2000","totPop",36.7550071286929
"1048","2000","ruralPop",1
"1048","2010","totPop",26.0841986074595
"1048","2010","ruralPop",1
"1048","2020","totPop",27.8626666943317
"1048","2020","ruralPop",1
"1048","2030","totPop",29.0483120855799
"1048","2030","ruralPop",1
"1048","2040","totPop",29.641134781204
"1048","2040","ruralPop",1
"1048","2050","totPop",29.641134781204
"1048","2050","ruralPop",0
"1048","2060","totPop",29.641134781204
"1048","2060","ruralPop",0
"1048","2070","totPop",29.641134781204
"1048","2070","ruralPop",0
"1048","2080","totPop",28.4554893899558
"1048","2080","ruralPop",0
"1048","2090","totPop",27.8626666943317
"1048","2090","ruralPop",0
"1048","2100","totPop",27.2698439987076
"1048","2100","ruralPop",0
"1049","2000","totPop",111.202796802482
"1049","2000","ruralPop",0.623736397461793
"1049","2010","totPop",112.181023927356
"1049","2010","ruralPop",0.0237658634219197
