"ns","ks","value"
"1048","LI_MEAN",3.7608125
"1048","IR_MEAN",5.375375
"1048","SS_MEAN",1.6840625
"1049","Intercept",1
"1049","Cropland",17.5576275958176
"1049","Forest",0.0114942301220054
"1049","OtherLand",2.63579802714578
"1049","Pasture",12.7836333477239
"1049","Plantations",0.511707517952382
"1049","Urban",0.00708928123829863
"1049","MeanTemp",27.885
"1049","MeanPrecip",44.6751
"1049","HarvWood",1.266
"1049","HarvCost",105.479
"1049","GRASYLD",7.492
"1049","meanTimeToMarket",78.6932
"1049","totPop",238.246235527429
"1049","ruralPop",0.0409620443442315
"1049","Altitude",0
"1049","Slope",0
"1049","Soil2_Medium",0
"1049","Soil3_Heavy",0
"1049","Soil4_Stony",0
"1049","MEANYLD",3.8205625
"1049","HI_MEAN",4.295125
"1049","LI_MEAN",3.7854375
"1049","IR_MEAN",5.534875
"1049","SS_MEAN",1.6668125
"1075","Intercept",1
"1075","Cropland",21.3480575758351
"1075","Forest",0.10964700574043
"1075","OtherLand",1.77110449151029
"1075","Pasture",23.1974034108841
"1075","Plantations",0.795659927659677
"1075","Urban",0.00978758837039749
"1075","MeanTemp",27.885
"1075","MeanPrecip",44.6751
"1075","HarvWood",1.415
"1075","HarvCost",107.015
"1075","GRASYLD",9.149
"1075","meanTimeToMarket",223.02
"1075","totPop",157.479114644711
"1075","ruralPop",0.159585910190912
"1075","Altitude",0
"1075","Slope",0
"1075","Soil2_Medium",0
"1075","Soil3_Heavy",0
"1075","Soil4_Stony",0
"1075","MEANYLD",5.2525
"1075","HI_MEAN",5.616
"1075","LI_MEAN",5.176625
"1075","IR_MEAN",7.2533125
"1075","SS_MEAN",2.9640625
"1100","Intercept",1
"1100","Cropland",13.7152006803418
"1100","Forest",0.128805863438179
"1100","OtherLand",2.22346260227407
"1100","Pasture",17.0825004084767
"1100","Plantations",0.580403244725363
"1100","Urban",0.00652720074382133
"1100","MeanTemp",22.5794
"1100","MeanPrecip",3.20314
"1100","HarvWood",1.604
"1100","HarvCost",108.949
"1100","GRASYLD",10.599
"1100","meanTimeToMarket",62.1992
"1100","totPop",2020.51759349555
"1100","ruralPop",0.00290467388434117
"1100","Altitude",0
"1100","Slope",0
"1100","Soil2_Medium",0
"1100","Soil3_Heavy",0
"1100","Soil4_Stony",0
"1100","MEANYLD",5.714125
"1100","HI_MEAN",6.2295625
"1100","LI_MEAN",5.650875
"1100","IR_MEAN",7.839625
"1100","SS_MEAN",3.1364375
"1121","Intercept",1
"1121","Cropland",0.298838646358004
"1121","Forest",0.0176977103854718
"1121","OtherLand",2.07484260026531
"1121","Pasture",4.39063771679274
"1121","Plantations",0.0451331148757295
"1121","Urban",0.0104802113227495
"1121","MeanTemp",22.2499
"1121","MeanPrecip",4.56448
"1121","HarvWood",1.416
"1121","HarvCost",105.165
"1121","GRASYLD",8.464
"1121","meanTimeToMarket",126.758
"1121","totPop",685.763926974697
"1121","ruralPop",0.0661121774365536
"1121","Altitude",0
"1121","Slope",0
"1121","Soil2_Medium",0
"1121","Soil3_Heavy",0
"1121","Soil4_Stony",0
"1121","MEANYLD",6.123875
"1121","HI_MEAN",6.7690625
"1121","LI_MEAN",6.10225
"1121","IR_MEAN",8.3
"1121","SS_MEAN",3.3241875
"1122","Intercept",1
"1122","Cropland",0.510619306495818
"1122","Forest",0.0661754632828123
"1122","OtherLand",4.91763762085637
"1122","Pasture",7.6288023092266
"1122","Plantations",0.388713844794854
"1122","Urban",0.0735914553435512
"1122","MeanTemp",22.2499
"1122","MeanPrecip",4.56448
"1122","HarvWood",1.264
"1122","HarvCost",104.272
"1122","GRASYLD",9.118
"1122","meanTimeToMarket",226.37
"1122","totPop",224.945051871328
"1122","ruralPop",0.179646596858639
"1122","Altitude",0
"1122","Slope",0
"1122","Soil2_Medium",0
"1122","Soil3_Heavy",0
"1122","Soil4_Stony",0
"1122","MEANYLD",5.85384375
"1122","HI_MEAN",6.4239375
"1122","LI_MEAN",5.7911875
"1122","IR_MEAN",8.0614375
"1122","SS_MEAN",3.1388125
"1143","Intercept",1
"1143","Cropland",0.308336807631346
"1143","Forest",0.0121763192157879
"1143","OtherLand",2.03416882973366
"1143","Pasture",4.5710980434192
"1143","Plantations",0
"1143","Urban",0
"1143","MeanTemp",22.2499
"1143","MeanPrecip",4.56448
"1143","HarvWood",1.927
"1143","HarvCost",107.916
"1143","GRASYLD",9.14
"1143","meanTimeToMarket",204.939
"1143","totPop",228.277536970565
"1143","ruralPop",0.043010752688172
"1143","Altitude",0
"1143","Slope",0
"1143","Soil2_Medium",0
"1143","Soil3_Heavy",0
"1143","Soil4_Stony",0
"1143","MEANYLD",6.865703125
"1143","HI_MEAN",7.685625
"1143","LI_MEAN",6.87075
"1143","IR_MEAN",9.2636875
"1143","SS_MEAN",3.64275
"1144","Intercept",1
"1144","Cropland",1.13319907661318
"1144","Forest",0.0798290946617285
"1144","OtherLand",2.99786014723169
"1144","Pasture",16.3526342413186
"1144","Plantations",0.0479031896577047
"1144","Urban",0.0344842505170825
"1144","MeanTemp",22.2499
"1144","MeanPrecip",4.56448
"1144","HarvWood",1.791
"1144","HarvCost",106.958
"1144","GRASYLD",8.817
"1144","meanTimeToMarket",215.307
"1144","totPop",1194.2801261848
"1144","ruralPop",0.00247394249097619
"1144","Altitude",0
"1144","Slope",0
"1144","Soil2_Medium",0
"1144","Soil3_Heavy",0
"1144","Soil4_Stony",0
"1144","MEANYLD",6.516078125
"1144","HI_MEAN",7.34075
"1144","LI_MEAN",6.4685
"1144","IR_MEAN",8.9143125
"1144","SS_MEAN",3.34075
"1145","Intercept",1
"1145","Cropland",0.461644261189555
"1145","Forest",0.12208680957212
"1145","OtherLand",5.7136568662908
"1145","Pasture",7.09126619802128
"1145","Plantations",0.150509151213468
"1145","Urban",0.136096713712779
"1145","MeanTemp",22.2499
"1145","MeanPrecip",4.56448
"1145","HarvWood",1.428
"1145","HarvCost",105.769
"1145","GRASYLD",7.35
"1145","meanTimeToMarket",106.67
"1145","totPop",1321.72989763997
"1145","ruralPop",0.0226832641770401
"1145","Altitude",0
"1145","Slope",0
"1145","Soil2_Medium",0
"1145","Soil3_Heavy",0
"1145","Soil4_Stony",0
"1145","MEANYLD",4.43378125
"1145","HI_MEAN",5.1745
"1145","LI_MEAN",4.44525
"1145","IR_MEAN",6.2861875
"1145","SS_MEAN",1.8291875
"12073","Intercept",1
"12073","Cropland",0.120943096156387
"12073","Forest",0
"12073","OtherLand",17.1114803593892
"12073","Pasture",10.2809765444544
"12073","Plantations",0
"12073","Urban",0
"12073","MeanTemp",5.29993
"12073","MeanPrecip",804.178
"12073","HarvWood",0
"12073","HarvCost",0
"12073","GRASYLD",7.209
"12073","meanTimeToMarket",476.454
"12073","totPop",2.18075555910938
"12073","ruralPop",1
"12073","Altitude",0
"12073","Slope",0
"12073","Soil2_Medium",1
